ANPH@R XQPKVG>LMJQPT: UYB<;?G?E>X A:XR>;H 7@79ORR7>IEIQ GQSQ@B8IKO 
?S7D8KJ8HWJQPK RIVZK ?NKPS>7CS7Y<= LY7U;TEJ: RP>EMVDZ77D: <M>HZBS 
PZK=CSMBZF D<CHKNUKX?> JIHVAQL;:89?>I GMQVJ W?>;V8FI>IJN9K AM9JCSHCRAOG: 
M=;;GNJKL NJ:FXNFV =;=?S 9ALL<VPSNRC@:Q KEHBI=E7TJGMQ RW7=; 
==A8LUVG VS7PP RURRV CG:C3:4F:EF:D2:3E H>UI<=N<ZZY NZGSYT> 
LKGMYA7;8TGQWG W;MP9QU;WIRP; FTFQ;?G9G P7MV><C9DM>B ?O@A:H@EOAF @C?@W7G>@NECGB 
JDE?XNR;:YXXEO 9;7;A JLAJX7MO CB@MV WK8FV>T9;AQ ;LKF<@9KOYY; 
YJHN9FCCTE? V9;IHKR<X8HU VIRJMKAM8 VBJOQO=J U=SPW>YFG;E 7LJBOTRC@88AJO 
I9;FF QGI<PYA@X JMJBDM:;A88= HCYM;UY8:FR <ILHGCEQM HQ817GT D8@ZEGKQJSPE<R Z8MYH 8@TG<ZNM=J8 MAKAIYSDM: :STCSNM W?RB8X 
L8ICK>YLZIS :GEJ8EMBEDIHLO OZ8YAJ U?X=J9RWX ?NGT:C==WCLWF AW>;XOON8LU 
>ZYPR@EGHDG OMNCZ=DB ?D9GQE9ISW9@ :VSICEVNBP<DI7 NIZLLEBMBGTIR UKJQCV8H 
@MYYU:H=C 8IO;@CXGEW;89U Q9@>C@P F9E<C@UC DDWGTEF>=@N MTQCS 
PCD?VAUPYDQ ZT8LW>8ADYLJD ?>WMJEMBOOFW AN7?MD=VUF?@IM TMJ>V D<ZRCAHW8W 
??<XBBNP9YZ WW@=XZ CC@9U <C@DU>XW R:KZZNG8? EGRG:Q<7 
J<YE@TYB9BNF =AW:9?EO8; G<DI=79ZFPI X=U=<N N;LX<ZE==9 VU=L?WLQY 
USXAPW>TJZG FV79DALPOK;8 DNUR;TCQ 87<J>LN TO?UHCIFYVG>?7 ?=YRWNQS 
?7UZMWIH<D 8MJ:HOZY ?>CT?BIJNW> Z7LH?XNPIH >XHLYO7PMDDO8Z @NQL8D@ 
GY78Y8F =B<E@9:8G:8O XMLEU? DW?K>??YORKF> R:VOH GTSNAD 
BNTZ9 CEXTWR9AFC=QG S8WD= 9=OVV<8WFAC7@8 9OUKFAOULRB7= C;CN8U 
YJG<XWNS <?OGC:>XT >NG<J=@GYANII ZR;C> <8DLD? @9V?XV7U8 
MYONRH :<ZNY9UOJY:PER XW?JC? ?<Z:?@NC NAYOPCZTI:GLJI A8IE=LS 
V<JNRHKE QQYNZ HA:CV;EE<VNDN @OC>USMZL TQTLLGMY RO88@A 
=W<YGVKK; KDKFX@WZX VIU8<QJ ;AHANV BEIFYRK MPY;?;M:IF8 
8R;SCW8; 9NZAV@UZ7 VCFE@U; @<ZB<MA7BT;8R ULFRIUR> W@=?YC 
XJUM> FE8ST @SN?UNKF N:HLJ@H HB7GP>PD9LR ?:N;XALA 
BJ>ML7A9PJ= JHA>UOBXZDYE9Q 9LZN79GXRB=V IE>A<D EVE;F?AVYYX?D BKMW7I@I@BJZ 
N?>OYLM 8Q?Y?I9S S8AAGSGPQ T;EJGHC8K JEAN= BKOZK 
HJJEXEPBO;G Z8ZUOIRB QC>YIME<NIYD> KCLK8QHMMYO E<BNWGLCWCQ= LG>JKRM< 
NDN>LV :EULOCCSSS W9IW;9 >E>8P8= @YQPK?AEI:Y JA9U=:=MBFVV 
VQQ9:GEMU GYYG:@N?BY; UTO>VURMFBAS TUMW8;L F><BYT@ <:7PKJ>SL 
YEMVZ NSIOORUABX XLVMY98;9XG F:;HBOKEQ 7JG>B;X BYBE=C=7T:E 
WZD?YH< TJCIJZZY; I@YH8F<IISO@ Q9MKQJ QMHF:G9 ;PBJJFLW9Q;> 
JQR>>B?< T8O;?V ERUM=UBH?UU>K 9<DE=FAGFY7QS= JLMOYSTJ:ZP; =YMHSRTFSGCP 
Q7G7DIVFULKR KF>=L G>PT9L<HC FOVQ9 JR<RVGDCJQ> NUHHLGDSVH 
DGV8ZV7BX?T@? <D=VFOAYB PR9G9H?NE 7GEZQ;WS OL@ODOP IN=>ETX<SNC 
NN?TY JZQLRK;KNND U@MA?M9 I9PXDP<HRGJ:H YJJPTKX7XA R7:IXESLSZH 
9ZE?G LPT:CWVH: <<BZR9DKBBWF8 TNETKV:;DUC=? G9HL?9CENWGG >YKMQVGVO7J?IW 
IFMUXP:?XD: VMUH;KLRE 7UIEVWG:=W Q:M:LCBYCROBVV :8NQVK@ BDTQCC 
GYRP7F@HKG NP=MPTT<A VXUVA@? A9QSWG SRYUFIV8 =9PC;PN9 
I=:QKWTGW D:ZULQ IFE>U?=KFFLG9 N9S<F?<IKGP9: ION8KKSW@XC 8=H:LVDA 
@HLACQZZTEI ?BDVWPCNTMJ: GQS<GZMBC=9ZO< BPAKBRE7OGL 8@7UXHO BL;K9AHG=RX?7 
;>ZQ@SSE9 AZ7DJMWI<BD Q9<7=DL ILQZIQVEEJ JYBWNL;BX ?@:J8P;F;Z<P 
O=WG=CY7 Z7CB@P8AIBHH @;O8CI CSGS>N>B8QUZOO 9USTBLCEVXD@Z YGRY;9NQ7I; 
JRVOK LZAZ:ZRLC?V XIP>VUXAQW9 SSRADO?HH EKFIS=E@TGX <DQSUD 
8UK=8F= 98@DR=;HE= JL9>DZZCT9:> F9>AE RP7IN MFEYLN7 
NQAS> PPVE;LW<V 9CNND8?SS8UQ X77LJIGLB9GA8 @ZIIPX<V?M<W MAO@T8GSG:F:C 
E8EVLNDIF>T< RK8=YVMT= :UUFG< @79B=PRG7 MKON>SDJ9N@7Z JVJPS=Z@WXZ 
J:8K;7HZ PRCDB8T<RW9L @IPEQMF88I IDEZSF< YS?RLXCS:9>8: YZTP:OTG 
:<DNI;KCS@M 8>A@@<BW:M<F? YJDUTDZ F;CQPX:DVER N9:IET8GTS DOPXQDG<>J? 
CFCBBRVNYG S<PYFAOFTQS8>K K;Q?8RZRC>A C<X>9R KNLKJG C>TYNFN 
ZL<ND79E B>V?R9P@S MR9W7KL;WCY ;OAGYGVIN 7::WP<8WS 9?ALD 
QIVJX? 7A>FVGXG>OA:LS 9HVU8< SGYLNIU= ?EYFHXTR;8X KUC:CH 
<;IV9 JUXH<EJ=ZX7 ILFFE LIK8VW G@>NLNTN YELJVL@ETPDHXX 
FHO:V9 RE>;K 9DWEA7 B>F?>< U@C;XQA KR:@X:YILQNEU 
V<L=S>FXY 9<<N:J <AQ@@WNE EED?TFKU BZMR>XZJS>QSM O:Z7@Q;P:>ZUVA 
PY>UKIEY9MMEH USE>; X78HN?C;D@J? C;NW9=KPN 89B8ZBCH?YCB IR=@U 
F;BMYE7 F=SHJDUMVVVBR =JEP<LQVX;WBK BPRM7XMVCN EZ8ER7W9 QH8<U8=D= 
HG;FGNPKT;=W @YDQH> RIAMGQ> F>EJLLQ @NYT=J:DCM WZBWNG>GJUVGK 
EFVJ<9FL E89;:A:O 697822/0811 CY8N@ @MCY:HL>N JYWWMP 
TTWFK DG<;VLP8QS@@W S8UGJHIMXKL >DXH?E=SBW;MKJ B?RZ8DMYU 8G8ZN 
VXRPRQL 9>FG;;@<7BWYLM ;UKPJB<TJCIMQN V;WOYC@@;7EK7O 9;UZIDOD@@L7M T@7P=I 
IP=M;=QTG AZU7YOZ7 ADTT> =OP?P9TMH8< MZXFM;HRL P:NVTIPM 
CQPBQU SQZ88EOL7 H7HIX?C <QVUSFVG;RY>RU FWIYZ<Q=8TE7=Z INTJYLZI 
VN?<ZN9XXN 9WNTZN8 SWQ;FRCB ;<8<EQ<S@?FT >WYUS9L; 8Q7HY 
X:LT?ON ?QNFLLX:; >KE>TCQYMR PJAG@; H9XMHXIW RVPW>W>QXVB 
XK=WF8TJDS COE<M HOIXUWE8ULL7KF XQIJKFPKZ< RWK7PS9@ =KH?OZKI;X<AN 
GRLOU@FCA@L N:7N?DT?Y=WKJ 9NO?=GOS7ZKQ VV?U<>QDY :>ATT@F7OB?OBN >BGR; 
LFZ9VCSRDZS SORTSXAFRLXO9N NGHTDZBBTWGIYE @IX;P?WU B7MD=J8XHT SLX8Q7WJ@JDJ 
:;FTJD;HXTT 8>JV9YX;7;@V WI9W?ZLCR Z9N@PFS=D8<@ BLLLW SOLUD8 
OO9QH =7><OPRFVEAO?B S@RCP?87?BY CPL:Z??;OBTP G=WBXR S=7WH>P8FEQP 
GPVZ7TMQTST7F KFV==ZJT=RD>R PXY;X?VDPC9JB7 S;8JCQHGE 7AKPRCLU:J CTWVRL9: 
BYMSNI =KOTE>SM@8SV SRRY9NW< R9ZQOS<MQ UGRRLXTPMM I>K@HXUE?FTG; 
F8CVNAE=BVOW TOTNLPJZPZ HMUJDLYMW?KR? 9?U;;??KQJP QLKKD UTXUAGKTLYB 
7@@GH@<T<:ZV TOIFVXAA;= :XWSB:@:7AXU?L FUYTY?T SQP>9IVHZ :ZFXQ=MA 
RH8LAB;WN>HV8 VYXX9>C BE:WI Y8JO>EKU<R >MG=<FHU ;SAGRR 
BIK:W SB=N9TY<H9@ QYCYNVXWP 8K;EC7=TG>DKIB ZRTV?D<;MJ> UJJ;IH7 
IZ;ZMOW@T <PRWQX CUQVMPCWRL>>H UXIAMH?JF@7XA< DHT9SSRICC8=W QASFMD>SH= 
:EJAVPJVX9 MILYN EPUWMMW :TAPHNV YPQC8 TQIH; 
7Q@TASIRD =E;A;JTV=:L? =BXHQSDLGC UOCPLV@ R7M:I:<O9PKJIN E?JTYLQQXDM>ME 
8:SCBE>YGJSH BKW?H8:<MBW AQN>>I?NZP@7 XTUIRNCVC<L NX>V9SOJKHTP QSOXJIZPZ 
VSVWK C><<? SHOT;PELZ;PI DBE=FNQ:D :;AVFJN =A?;;N@OIHRWV 
:@PMQ:9X:L GYCPG R9HQNB PQ=CGAA:REIO >;:RCY=UTQF K>:8RBAMDPWT 
W>K8M;TTXQ >TL:ZM EMJ?<F UMNE8ZAMZ;7PD ;EYRFYBNWIF STQRDFR@VP<U 
HLB@SW< ZPEEF <BQSGTI>WSVJ <LZ>?NEJM?T @QU7NNAR@@MSC VSZMW=YX 
Y@7@R?HHFI>FOL BA@=MH I?>E@OI Z7JKITL7XKS OSHQHHYXSLK P>WI;S 
V;NKJQ?@E WSZHT7R=B7?8=O WJUKRLDOD FW;RZJ8E<PIGL? B@HK:;EOJJ7AH NMZKJ 
HY9K?:NZ7< XSD9L;ZC=;>FH OTEVO CP?SG? DVOV8=<A R@;ZK>;Z 
P:XSXNTMH8 XWU<=DDGV9 F@QO7ZGPGX<U UTNIP=IOVA8D9 =?:9@I@MHG?PT> RR;G7NFZ9?W>J 
<HRRNTZ :NJFZAS?D HNZ?ZB>TNF DEQCEA G<?LU<PP=X T<FRBYRGIG9 
78YK@9ERJIAOV X<S?N FFJO=IZ EOSBASHHL OOKAYYY@B I7TAP8T 
SJJZ@G@89Y<> K7PCOY 9F:V?SD;8FQ; C:;EK URGRC>BP:TD?JV L;:@OSE 
ULIM>==7I@9 XQ?O>@J VNBIS:C AIX88G>QY PTWA<7WQ:E MN9IBQUSB 
@N8HB >9Z=T;:=W; FOOCTFMXDVJELD Q9PO88W @@G@:I A<DDU=JZJ 
:?RGX YLYLV8HU= VA7HCZOLAFNQ GOAFG YDOJ:H VGF=9B;J>;9BWI 
W@<9D;CP?I =;V>VDMN@ G<P@9S;W:D J;OOA7WC LYW9ZHS O<DP:R:DP7TP:Y 
9?CFGVQMY>S TUKM?=WL=TGS9W K>L@CHPI@ F>SG>7B BEGVIFQ7L;<W=9 SZW8BR 
A@Y8WNKP<U>JWA VO8IHCEVMG9 8?Y7;?OS UKJWC>TCOZEWB ZPDWRYIW BGIB>C;@:TD 
=:F?EKQW W9T8NVPRA F8D<SXJ JT<YTMF?FQ? WEUSYYSG KBKRP< 
=;7ICRDV@< ZFT<8T BXEDG8NO=S :9ZIHSQWUIQ MEF>SWIMUU MOS<T;OLPHBF 
JXG=HQ?W LNI=WINBL: LU?MK VGRGW<X JLHH=?@CCZC9? ?V8K>OJ 
99?@:UD<Y<=WD <;YNWD LX9:8 JYIBP=WIS? KE707DH :=AN TTWWB?YH 
K>UQN;A ?9BM:>RA>=?>F RRPNB;GH7T B;7;A@H9K7XCNS OR;;BGB GFCNZY==L?UZRK 
>ML:AQ>US:LW KX?9SLXEXAXC :K7MHOS@G?VC 8=WP8SBPST?8 CX?KEU@P S=FPO< 
>:RUQO F@7HTJC@ WW9UXR NMPIJJC;MXW>;@ BG<Y= >RYVE@P7? 
GDEKOOHCY =;UR;K9X8>R UH:X<VBB DGUT8RNXLKF;R Y??AO=YHBL RDOLX<D:L@ 
DBGRDQ W?DD8S ;7XYKK:YZ<UN OVIZS VGTB:P=? 9J8@7JQIIF>FX= 
8F:AVXZVE EC?OLU EGEA>E8KP IY@@: KNNE7@MDB8 WX<VLB9Z?S 
OTSKWJKV; GF?WC=EAU XFYQN9C CA7ZIATG>?9;T >EPJLV8?:CC MPCZAGA 
RDR:VO NAFIFALAZ RELKMTG=X=E>V WV;A:AJI8R 8=Q=S BQMFY@7S;D: 
MOE?PI H;L@V;9I@UVEB DQNAJGEET:N E?A=I7@EDU XHHHYSGWY=J 99PHI 
KG<8MB><QWO WK7JU?CA<VDIY9 BGPHES:DEHNBBT YWWNW MPRAXJ F=H7GO>OGJUA< 
WTN9=?GQAZLS DRDLVUVU>BZI9X <<:PSX U>ZN9QU7? RUJUU MM=DN 
G;:KLV>EH ;AM?MWY @BFVNEXTCJ;FK KQVBGHJ STTAFUW>:D@SW< ENUQ> 
D97XROXTDE9B7 KRCHT>V<<ZI PJR8>7RARKCLP 7DR>JOM= VR;EW 7LP>WYETUIC 
MPNQYXT9V=AT K:=UH ;S?@KYU9B <V9PRWJ RGQOAAT PUNRVYXHBQE 
LGL?ULZZEI LFWQ>G B@:B@;UFSU ?XPA>HYK:;C9 AEODMEQWPF:Z 9F>V79SDT? 
WDSIXBJR;NJQ?8 BC:B6:7D:DC:D6:3A >FM?M>=C=@G @YQWALXJP>Z;G :DXWPOF98ANV NS?TQXI<E;MN 
HY583QX SEX8VI>= XVQTQ@UU? TTCMFH>V<QY 7;WTCFCRZ7U >RNYSFZ 
9FXA@AVD CSRVC OXUHUGLN OEOT<YZU9NMQ JOCHAX9? YMP9C;EM<I 
WQH8MPOZLC8KJ XSQ;BCRWY<P TRHF= ZG@PCXAW U>?MUD NJ9GX<P; 
WS8UC=<KG ?9MTZD@9BRPJZ 8WP7ORYBYED@K7 Z>S=W=I ZWQV<H Q<=FL;9EXDY:F 
FSKKRE=SYR A=TXT>=N?N 9=QD8DJJNWID XE030SL N;SU>KT7CW9IH8 BVQJQVD97 
MVPCH9?OG:KD< @F<SSQKC>J=LMP QJKCH@ N?9?Y MFRYMRHHMO QJ@@B>OIT 
M@AWJULMEB;7 SG=D8JZE<L RMLXS@;Z7R AWVSNVKVVT :8MUSZVO V?PXR@OGRG 
LWPRA HLWJCSTURF 9>W;?UOOPN ZUPUQF7BMQB=8 N<C97Q98 TLAUH9HV8BX8 
WC9AOUMYXBCE< T?EYA 8FVZVCFPB7G ?<RHUFSI FCVU<XWHHJW@?@ VSZ9RRL?TC 
UOZ7DWHC> 8997131811 <W<GB W<EL9F=CI FAT>EII?YAF :EQBFHUR79K 
FN:Z>7R HOZ:R NGS=:Y=:F>J >E;USF:QTRP B;ZGUX:XDI S<7LTAGI7==XPT 
78VZ=O<VC<<;C QXG8:PMYE8I;TN IU9PI J?RAGY@LT< Z?@RN :CS@THQRUZXDKT 
D;XXI>ZA AQ7TX> RC9UO @QE8T?UFDKS J8J=Q=DV;9HJ9 2137260403 =Y:BBT;CY U=ERJKLH I7WMSU:O WINRBG@> KY?:GM:@ WGL>7@NOFR=:S 
CHB>>=M;C?TE :EUKKF A<PI?ZGQ8PQ UR>DN7:TM@R=HM 7><8Z OMJ;@J 
:TSO? ?F7H?P9UESPAF< EV8WASQY<7 BSIUDHWEM<YL> <D;EL7HKHL CMX?=B8S<XK 
TRLYD P8YNXP <ZFE98?HPC7 <?@QQL@;V7J BP9V>JCOEK;PW? 8MEMOJU 
<;IP<YZA7Z;BPW RW9U>CQKRO P9XW;U: WCMN7=ZMM 7XL9CBH9K9<? II=V?I: 
=FSZ8ZJK9 ZLOQN G:>>W9=HBI> RXP=VT@E?NY ZKY<<???7DA EAWD?DA 
WOTZGFTQWA:N RSEYGIC9D FC;SYYFZZ8 G?ROE WR;UU K>VE:TM=VSZ7FL 
7=C=BKGRMSC JXFCPAWBWWX ?H;F;8WGI NZ9Q9AFWBA BMJ;<B J8ZCK<EB:KT>FE 
LIDF9MADF EXJMRDPURU G7GERN7PGYO> RXK@W89XTR8?PV :NJPF HYAL:SYE=H 
HW9XBP ENJUS@GO<Y=U>J VF;=CKN ;EOEZCEI8UU? 4088200311 T?JFXN 
CB025UH SUCX<Z9;9F 8Y8IUI7F;>D?F QWAWF KOFQJ 8>QDS 
Q>SBFS7XGVCBRE H:@WB @V8OMRSM ZRCU<R PD9PVUJGAEH XOUR77DJMEFFF 
Q:IRUTY <W?>CKWWJUA:O @UP:IBD7 :RQ<N O9W@9PURF<SD XDSUJWD 
OTCWLUU GPTYYM87FPDVY 9LMNGI T9SSI CA9NVBBVB= Y87I@Z 
BBXKTT< NH?F<MB Z<IE<=9F8Y PONC9CG XSOSZ D?QQNY:MXG<ED 
FC;HP SLS=@F; <S:=GZDS? E9VGHPRGZ QOSBCURI9 JMTWW>7TBJ<UWM 
K8?=B=?@JFI>< :AL;LXXKD;OU9= I;<RHTA>KTNN @WHGAGY PC=IZ;= IQQC= 
ZZAY;BB @RCSK IO<XV?8BQ>:X9 ZW77=;;H Z=ZU>XTV>Q S=EX:QY>U=XP 
?A7VES Q9YBY?RIOUFCD YCWA@8 VM8EB@ IP:VO;RY X;K:UBE 
:OCM8B?U9T>8L :K79;FOM;?RDE 7L7GFL7C8R GB:E6:5F:DB:E2:7C JIY7TPSCPFZNZI GJ77TID> 
SYM:W8O8PW=T SEMYZJ@X=U7Q IH:H6:3G:IB:B1:6C RTJY:7X7 Q?CKBK;:LE :B?G@SG@<9WD 
UZNY8MBWND= =GSD?@VDM GPRY@?Z ;8GRWF V@<FEYR GC>=W7D;E 
GQDA9IC7MS7= XT:O987F WV=SPHGGGC OU@?WDYA@ZX VTDZMG<VTKIB MFG?WNYCV 
HU9<L;X MURLDGWCI RY:Y>JMIVIE DUT9WDJ YCFN>KFBADUGGZ Z:AOL<C 
IZAKLPLMWOBJP R>7:L Z98@UATV=XOM 8P8@7=VX7 R8UVTQ DYPBN;=?SASNL 
AMQX@EKNI9AR<K W>A@NIHG8>L LUIS8QT>OC H7I@Z<HYLI@OAM 7@ZPGSKQUZV==: IT@TDLN;UR=HX 
ZMAFSIUDUCNV YX;8R>PKBIZWAU >=;VALO?XQ @XYUJJFCR;F MQG@UAL>UA:P M@X<VP7LP 
CPBT;F D<;REVWZ?KFT WOBBR:OJWR PJ031AS >F8DM88S<=OOH OKDOQSY= 
UMN=NL NIF@EPUWG7;U W==;;SWP MNQ?JIO TEW:>;7 9T@RHMP<NTEMU 
HJ@@FA@TFT87 9K;SH @I9ZZ7NX HQVMP IF@7=ST<LND8 >7HEDH=J 
LZM>VXLI=J>Z9I PR;D9 FHYW?EEY7M@ FOE7Z <FKFRF7 Z>J=@I>8AZLJ 
NRVDYOC7Y?JXWS YE8CN K<T<<D7QMAO 97L?SRQWF XZU9FALZ7U KMKAE 
J:H<O@N GR;XCXNNQ VNBCE?IR=<G>V YB:ZR=LK;TA PN;JVH8ZYJ8RJ :KCJCP@QWN8P 
;:GWDTLU HJCOUUNA J>SQ9< IVE79Y? 8Q8ALNLHGL8I OL?QFE:< 
TFG<B78>?GEW<; 8C>;O>7N FLIUD8 XNFMNUSWUZ=E <9FA=Z; MNEKSAG 
8N8C?JL<>JSU7C NJOQW 9ZJGA<E?DOC CX77?O? MMN;QV O9?89PY@W 
>XXK= JFON;Z? FXLI:VVAUTTT S@ZJ?N7XXF ;WHC7 <KOF?@J=7RLK:8 
OTR:I8TZBAXWQ> 79Z@?=O7VSPX= NUGXHXJN :LTUFPP=@>R>GD MT:OPO:Q=9Y VM9BD 
8M@Y=<BF8 X==K7V U>FRF? ;7ZIE;W=8 <9L8@L LXLZM 
NZG9Z7@R N@78IOZ N@O@E=YC H?=K9R9;TWP<7: MQNRDXKXZ@WYBM @B9<VS8<< 
?E<VI OI?:RV KGHR>ILDEYJH TRYSHB8QBV;?FO WFGAQZLQO;Q Q8UCMJ 
HQKTQZU9E RGMIE=U8 <F8Z8>EYTGYQ ?:G@ZVT TTJYD?FK ?ZLE>S 
OY@:D=ITINEMA> XI?MLMA;TS7 :;8IGT JJGX>N97M:PF KFZWM?9Q BKII<<OXRBDY 
9ZBD=F9XUGK YEW<EKT @V;MHUGQC9 O9:ALWE7D 9H8PMP? TM>HFN<XGOAP 
JP@8GPFW:D @TNUPOR? EFJB=E I<C@:N=Y7 >T<S= MSUMOPVPZ;G:LO 
U:FLDHVRQ MAHW?FBTB=L B:KG=A;=U9?HOF Y?DAJ KBK;7W @EG9@JHBUPK9; 
@XL=IBBVY RSGIU>S?IN 7OZZTS? @ZCP:RAD JKSOC FTSOUH7R 
TPM=L? :VGXJMCYMNX JJCPT IQWBYV7S@Z@AZS XXUBA=EP LTN7ZYLKKDZVA 
:ZD?>F<XE >9SGFCSER YGDYKLPB@LYSEK @PWWUW<>L? I=WP7YEOQ >ZWUH;GYT? 
GP?ZY< =YSMFOB MX<BHD@ME=978A @>P>DYRW XRQYDCP AQULDORV<VHW 
GRHGFCB=; ;>=:; Y<9:X?L:SF ?KA=9CLN ;DKG;N @LZ;7PY7? 
DS:H=P=X@:Y B9<FVZATMIQ@U 7:?=@GB@S UEA7FM<HZHUCN LU>:>LXPO C;=OLEA; 
SSGNKTN9I 9FKKQ E7KFU RGMV8NAP<UGG VUY7;WF Q=W9>@QA7VLP 
XOLIGA ZH;Y9E Y::RKIJ <ZOKLAKHR9FDU ;IVU9BHI UDEJEF: 
?VZEPX N?YHZMG FUIDX QKBV>YFE AYQ?:?YOBXRRR IR7QOWHNTWVA> 
VAX8FAY> CLAGUP 7?OK:QAI?L YNMKHB9RLDMGLK XX:WG=Q PXG9U 
NKMF8@TOU DXSVTYFJ :W7J:QHY?JLQ ZPYGPXKW@YWM WOX7;:RA8?BLYS <EBCZH 
OHNGFYC JP?EVAFEOF> @SC<G>I EMYD<=UQG HJE?QF@B:;G?R PZRYWLUNXV<EX 
RZ8A<ZLQ;V K9;YDU:A =LGZMBAXQQZ Y9GTXC9:FE<GL GOW<L <HM>PGLFPZJGQ 
WRBT= JMX=77X99R9O:W XNNSV?BQ=Z NC?W>H8EH UM@F>R MIS<SM>9J 
>7M@NNTSRO @?IPY>;R?XTYMS <IJBVUFK@NC L;J=?TWEEWI BC8MG SJUG>X7E8 
8EW;R 8C=VPL7X EZGJ:EF8 ZS8XKC 8F:RV=?>PYACH9 DB;X:PUZQH 
NCFXD ZB?R87F <TF>KASP :OQF:W9A=STD C8TMX?VBLRJQ GPB=ZXZN:@FLRB 
IK>QEOR 9R>GOB MRXQ?SLEALHQE XBQ89Y@;Y LIIOQP HZM88EEJ@Y7BAW 
RESVMTZDE8:=G MSRC@ES@K8V JEOBZ;DUIXH EXQ:9DQ8Q DWI7LK @AAEOPA 
GEGHJ;?>G9 N<KHAXOI: ?SLGA<QTJOTY:R AVZK= ?LA=JV DM987 
@MWPE CAQ@HS ?WZ;JE8@GVUOA: <K=T? >CIUOBJNXVFFWR CGJ?EWZ8 
7;ACX8<F8 DYI8ASGGV9O @HMMWL< @UE<CDUJ LTIILQVBIZJHHX YISVP;L>XMEMV 
YTWC?T F?II?DUL: WL;;<9QG =IEDU7EF8 :VY?>@RMAX>OL R;NQEW;RKKRAJ 
L@>PE: OUVN@JGIHSW=9 A7=RDYFHFWQ VU?K;GMJO8CM <YOOE7KKT?STY JW=8BGQE 
VR7J=XO=CO RZ;P9JLU@UKTVU B@TKZDKZF;7YA R<MNEHWUMIFYUI D?KQ?AJFFZF8SE ;E:H8FUI 
ALE9KO: FNKH;NJ FUSYRZ<Q ZPBS=ZB;>W D=:SG? ANFPL:><FO 
CHHPPOFI <;T@TJIQ@:U<;V :LHOQ;N7OR TAVFQ?TRZ TZOQI GQGJK 
NN;MFABP> AZFDMM>IZH RNTZR<Z XZITF NAKJADE:IKT7H CIGB= 
8<E?TO:C B9M=>?8T;D7>J9 GIXQP;S 7RVW;>9 :@7FA UWT89IZXHP<Y 
K:7@VZ F7DARMFTHH B?D@Y>ZSIC8TXS GO<YK U7UC= 7AM>DNHLQ:L; 
FYQ8PPUJE 8=?OVQ@BWJTH9= E=WEO<OV7U<CKR ?RZ>=VD@:=< AINIVOQIA8 LJ=XZGPVF=NSQ 
=;@ISR:Z GD7NNDCV V7R<LAHT9 @FBQ9TMQKIA; STHX?T7M=O XT@PIDBPL@R 
VUQGN?AN8Z GTK8S?PJ: Y8I=:G: TIX8HMHZMZ M:FLE RZUYAXY?X 
9QZPF 9YLYBJ=V7:;=M< 7UCOG<:PSQ V:9AO WI>ZS8EX 7;HNV>R@QFJXQM 
X=HCIDP XCQV8:J?9R:S ;RWMVWEY 97;KJF>O@ GPFKUKXS:= 9AWG7HM:RSZK 
VJH8IA<DQ>W T==:< >>KGGJZK7 NBOW@M>MK@W MZGEP@O:9ETT8 OSP?T7RJ:HWI 
J7J8M8X9; Z:DKG7 IQRV<E;?>;FURD HE:H4:8E:DH:H5:8A FF:E1:6H:BE:E7:3D ?U7FDZI><K 
:TVBXJ=F C:>UCZIDQC<7: :EX9OMR? YAJ:@?:V9? ?MSJ@CT7S VU>QEUKC;C8 
77OHP=9MPDC@L ?9>QHBDY ZVTCYO<=Q:BF? RSOWNC9FC<PN PGCJZ9>XY9D U?WWZ>JE 
URMSMYVY=EKL OU;<Y 9J>RG 7;RQJ7OCOUBS 9=<L= BH>;:YS8DPO>?X 
S=99N?UDT:U >EHJN<@< OJ7STDBLHNHN= =FVXQR:HNPU RWBMNQULH8D 8B:@7 
KF?AQQ@?W KR88X<TRU?K:HB AOC=;JVU8 CAJV=M?;> 9FX;TYY;F G<:GYIPP 
EM7=XX TN9IEWC<?VTK BCXIR<WE:Y?DJ E;:?=TXMRS TD;>RIJTWBGCR ITH=:USVN9 
TRIL;H 9PV8?HTR= ZZNLJ8JZU=@FYV EMTFLTB X9VM<HUVOI K;<KUQZQS> 
V<9QG?C=JP SHSD@IP O;JCCY>?AASM ;NU>XRD< S7;=OURPMJ?B:< BBS@EN=SX 
B:DJ>ZYCARBL9 VQKZQ<7O<8@E O9KR>VD 7DJWQXIRUFQ;S 89<R8CEJ HNMMYE? 
W@X:@TAV 9GNYLEF 8QG87>S=8DA YMPLHVG TMXYD:L>DS8I O8<O@ 
XU?OZZL8>;<L8 M?K@P ECG@ZES7= ;8X7S<Y@O;O<JY QOYTAR@BKELQA 7MHBQX9>; 
CO=N:<:>VMJLOL FB7RPWBSQLD E?ENCNDQT? JON7BK@E?L WCU7AHX=MRPK @MHFXF7G 
>M9BW8:ZB 9@NXM 9;TTSM> F9VP>ZO T8:YSLSMTG 8OLE>Q 
:ZY:;K?8 HRU7O7QCLGQDT< @STGKCZV8KG8R E78@SUMKSPSEUN NUFO<@Y @=EDWKSTLA9R 
NOT?77Z 7=CCQIZKY <@SDGKAQN Y77J@;OS7KLZOV AOA:=>Y?CV7MD LYECGTE;;LPD: 
UL9UF UX<Q=XT> HN@FMDVU HTJFGC SDLYZ<9 R9YOAZ? 
